Year,Tm,W,L,R/G,BA,OBP,SLG,OPS
2006,SFG,76,85,4.63,0.259,0.324,0.42200000000000004,0.746
2006,STL,83,78,4.85,0.26899999999999996,0.337,0.431,0.769
2006,TBD,61,101,4.25,0.255,0.314,0.42,0.733
2006,TEX,80,82,5.15,0.278,0.33799999999999997,0.446,0.784
2006,TOR,87,75,4.99,0.284,0.348,0.46299999999999997,0.8109999999999999
2006,WSN,71,91,4.6,0.262,0.33799999999999997,0.418,0.7559999999999999
2007,ARI,90,72,4.4,0.25,0.321,0.413,0.7340000000000001
2007,ATL,84,78,5.0,0.275,0.33899999999999997,0.435,0.774
2007,BAL,69,93,4.67,0.272,0.33299999999999996,0.41200000000000003,0.746
2007,BOS,96,66,5.35,0.27899999999999997,0.36200000000000004,0.444,0.8059999999999999
2007,CHW,72,90,4.28,0.24600000000000002,0.318,0.40399999999999997,0.722
2007,CHC,85,77,4.64,0.271,0.33299999999999996,0.42200000000000004,0.754
2007,CIN,72,90,4.83,0.267,0.335,0.436,0.772
2007,CLE,96,66,5.01,0.268,0.34299999999999997,0.428,0.7709999999999999
2007,COL,90,73,5.28,0.28,0.354,0.43700000000000006,0.7909999999999999
2007,DET,88,74,5.48,0.287,0.345,0.45799999999999996,0.802
2007,FLA,71,91,4.88,0.267,0.336,0.44799999999999995,0.784
2007,HOU,73,89,4.46,0.26,0.33,0.41200000000000003,0.742
2007,KCR,69,93,4.36,0.261,0.322,0.38799999999999996,0.71
2007,LAA,94,68,5.07,0.284,0.345,0.41700000000000004,0.762
2007,LAD,82,80,4.54,0.275,0.337,0.406,0.743
2007,MIL,83,79,4.94,0.262,0.32899999999999996,0.456,0.785
2007,MIN,79,83,4.43,0.264,0.33,0.391,0.721
2007,NYY,94,68,5.98,0.29,0.366,0.46299999999999997,0.8290000000000001
2007,NYM,88,74,4.96,0.275,0.342,0.43200000000000005,0.775
2007,OAK,76,86,4.57,0.256,0.33799999999999997,0.40700000000000003,0.745
2007,PHI,89,73,5.51,0.27399999999999997,0.354,0.45799999999999996,0.812
2007,PIT,68,94,4.47,0.263,0.325,0.41100000000000003,0.736
2007,SDP,89,74,4.55,0.251,0.322,0.41100000000000003,0.732
2007,SEA,88,74,4.9,0.287,0.337,0.425,0.762
2007,SFG,71,91,4.22,0.254,0.322,0.387,0.708
2007,STL,78,84,4.48,0.27399999999999997,0.337,0.405,0.743
